review_id,review_text,sentiment
1,"Dumb is as dumb does, in this thoroughly uninteresting, supposed black comedy. Essentially what starts out as Chris Klein trying to maintain a low profile, eventually morphs into an uninspired version of ""The Three Amigos"", only without any laughs. In order for black comedy to work, it must be outrageous, which ""Play Dead"" is not. In order for black comedy to work, it cannot be mean spirited, which ""Play Dead"" is. What ""Play Dead"" really is, is a town full of nut jobs. Fred Dunst does however do a pretty fair imitation of Billy Bob Thornton's character from ""A Simple Plan"", while Jake Busey does a pretty fair imitation of, well, Jake Busey. - MERK",negative
2,"I dug out from my garage some old musicals and this is another one of my favorites. It was written by Jay Alan Lerner and directed by Vincent Minelli. It won two Academy Awards for Best Picture of 1951 and Best Screenplay. The story of an American painter in Paris who tries to make it big. Nina Foch is a sophisticated lady of means and is very interested in helping him, but soon finds she loves the guy. Meanwhile Gene Kelly falls for lovely damsel, Leslie Caron. His main dancing partner, and I must say they are fantastic together on the floor and otherwise. Famous French singer Georges Guietary sings, too. So if you like good smooth dancing and fun filled scenes filled with Oscar Levant's nimble piano fingers, the songs of George Gershwyn will live on forever in this colorful gem. 8/10",positive
3,"After watching this movie I was honestly disappointed - not because of the actors, story or directing - I was disappointed by this film advertisements.<br /><br />The trailers were suggesting that the battalion ""have chosen the third way out"" other than surrender or die (Polish infos were even misguiding that they had the choice between being killed by own artillery or German guns, they even translated the title wrong as ""misplaced battalion""). This have tickled the right spot and I bought the movie.<br /><br />The disappointment started when I realized that the third way is to just sit down and count dead bodies followed by sitting down and counting dead bodies... Then I began to think ""hey, this story can't be that simple... I bet this clever officer will find some cunning way to save what left of his troops"". Well, he didn't, they were just sitting and waiting for something to happen. And so was I.<br /><br />The story was based on real events of World War I, so the writers couldn't make much use of their imagination, but even thought I found this movie really unchallenging and even a little bit boring. And as I wrote in the first place - it isn't fault of actors, writers or director - their marketing people have raised my expectations high above the level that this movie could cope with.",negative
4,"This movie was nominated for best picture but lost out to Casablanca but Paul Lukas beat out Humphrey Bogart for best actor. I don't see why Lucile Watson was nominated for best supporting actor, i just don't think she did a very good job. Bette Davis and Paul Lukas and their three kids are leaving Mexico and coming into the United States in the first scene of the movie. They are going by train to Davis's relatives house. Davis and Lukas were in the underground to stop the Nazis so they are very tired and need rest. But when they arrive home, their is a Nazi living there and their's not much either can do about it. It turns out the Nazi only cares about money and is willing to make a deal with Lukas. Their is more to the plot but you can find that out for yourself.",positive
5,"Just like Al Gore shook us up with his painfully honest and cleverly presented documentary-movie ""An inconvenient truth"", directors Alastair Fothergill and Mark Linfield also remind us that it's about time to improve our way of life in order to save our beautiful planet. ""Planet earth"" is also a wake-up call that the global warming of our planet has disastrous consequences for all living creatures around the world. Al Gore showed us the bleak future of planet Earth by presenting hard facts backed up by documented examples through long yet always interesting monologues. The creators of this documentary choose a different yet equally powerful way to accomplish this. They do not present us with a future representation of what might occur to our planet if we don't radically change things around, but they rather show us the genuine beauty of planet Earth in all of its amazing glory. We see places that we knew that existed but never thought they could be so beautiful. In this movie, we see a wide array of the most extraordinary places such as forsaken deserts, giant forests full of fauna and flora and icy-landscapes as far as the eye could see. And in all of those immensely different environments, we see the most beautiful animals trying to survive.<br /><br />This is exactly the kind of movie that had to be made, in combination with the one from Al Gore, in order to make us realize that our planet is too precious to meddle with. The voice-over by Patrick Stewart is always relaxing and thus very well done although at first it sounded as though I was watching an X-men movie instead! The cinematography is probably the most remarkable thing of this documentary. At times: what you see is so unreal that you tend to forget that a man with a camera actually had to film all of that delightful footage.<br /><br />In short: This is definitely a must-see for everyone since it concerns every single person on this beautiful planet Earth! The truth is: I never thought our planet was so astonishingly beautiful!",positive
6,"Unfortunately, this movie is so bad. The original Out of Towners was manic and very funny, of course they used the script written by Neil Simon. For some reason Neil Simons script is not used in this film so it falls flat time and time again. Even the audience I was with never laughed. The direction is very slow and tedious and when there is a joke it is given away so the joke dies i.e. The couple having sex in the park. They announce it is a lighting ceremony for New York, well we all know the lights are going to come on and we will be able to see cute and mugging Goldie & Steve do a bit of slap stick. The whole movie winds up being like this...a joke is set up and given away. Why isn't Goldies hair ever even messed up in the movie. You will also notice every close up of Goldie (they use a very intense soft lens). I suggest you rent the original with Jack Lemmon and Sandy Dennis, that's if you want to laugh.",negative
7,"Altered Species starts one Friday night in Los Angeles where Dr. Irwin (Guy Vieg) & his laboratory assistant Walter (Allen Lee Haff) are burning the midnight oil as they continue to try & perfect a revolutionary new drug called 'Rejenacyn'. As Walter tips the latest failed attempt down the sink the pipes leak the florescent green liquid into the basement where escaped lab rats begin to drink it... Five of Walter's friends, Alicia (Leah Rown in a very fetching outfit including some cool boots that she gets to stomp on a rat with), Gary (Richard Peterson), Burke (Derek Hofman), Frank (David Bradley) & Chelsea (Alexandra Townsend) decide that he has been working too hard & needs to get out so they plan to pick him up & party the night away. Back at the lab & the cleaner Douglas (Robert Broughton) has been attacked & killed by the now homicidal rats in the basement as Walter injects the latest batch of serum in a lab rat which breaks out of it's cage as it grows at an amazing rate. Walter's friends turn up but he can't leave while the rat is still missing so everyone helps him look for it. All six become potential rat food...<br /><br />Also known as Rodentz Altered Species was co-edited & directed by Miles Feldman & has very little to recommend it. The script by producer Serge Rodnunsky is poor & coupled together with the general shoddiness of the production as a whole Altered Species really is lame. For a start the character's are dumb, annoying & clichéd. Then there's the unoriginal plot with the mad scientist, the monster he has created, the isolated location, the stranded human cast & the obligatory final showdown between hero & monster. It's all here somewhere. Altered Species moves along at a fair pace which is just about the best thing I can say about it & thankfully doesn't last that long. It's basically your average run-of-the-mill killer mutant rat film & not a particularly good one at that either.<br /><br />Director Feldman films like a TV film & the whole thing is throughly bland & forgettable while some of the special effects & attack scenes leave a lot to be desired. For a start the CGI rats are awful, the attack sequences feature hand-held jerky camera movement & really quick edits to try & hide the fact that all the rats are just passively sitting there. At various points in Altered Species the rat cages need to shake because of the rats movement but you can clearly see all the rats just sitting there as someone shakes the cages off screen. The giant rat monster at the end looks pretty poor as it's just a guy in a dodgy suit. There are no scares, no tension or atmosphere & since when did basements contain bright neon lighting? There are one or two nice bits of gore here, someone has a nice big messy hole where their face used to be, there's a severed arm & decapitation, lots of rat bites, someone having their eyeball yanked out & a dead mutilated cat.<br /><br />Technically Altered Species is sub standard throughout. It takes place within the confines of one building, has cheap looking CGI effects & low production values. The acting isn't up to much but it isn't too bad & a special mention to Leah Rowan as Alicia as she's a bit of a babe & makes Altered Species just that little bit nicer & easier to watch...<br /><br />Altered Species isn't a particularly good film, in fact it's a pretty bad one but I suppose you could do worse. Not great but it might be worth a watch if your not too demanding & have nothing else to do.",negative
8,"'The Luzhin Defence' is a movie worthy of anyone's time. it is a brooding, intense film, and kept my attention the entire time. John Turturro is absolutely stunning in his portrayal of a tender, eccentric chess Grandmaster, and Emily Watson is spell-binding as the gentle but rebellious daughter of a highly respected Russian family. The chemistry between Watson and Turturro on screen is obvious from the moment their characters meet in the story. All in all, this movie is one of the best in-depth looks at the life of a chess Grandmaster, and Turturro and Watson add a whole non-mainstream, non-cliche feel to the film. Most people will come out of the theater thinking, and feeling somewhat touched by this brilliant look at the most unlikely of love stories.",positive
9,"This film's trailer interested me enough to warrant renting the DVD. However, the resulting movie is absolutely dire! Admittedly, this is not the worst film ever made, or the worst film this year, but it came damn close!<br /><br />The main issue is the film not knowing what it wants to be: comedy, adult drama, thriller, teen-porn? The story is interesting, as it deals with the pitfalls of mail-order brides, but the film is a mess. What starts out as a mildly interesting ""comedy"" (a word I use in the loosest possible terms), then goes totally in reverse, and degenerates into a very dark and distasteful misogynistic thriller. Nicole Kidman should know better, and Ben Chaplin is wasted! As are Matthieu Kassovitz and Vincent Cassel, whom I can only presume did this for the money.<br /><br />This is a bad film in pretty much every single aspect. It's not funny, it's almost so sexist that you could almost forgive Benny Hill for everything he did, and the dramatic elements are just downright nasty. A film to be avoided, unless you absolutely have to see Kidman or Chaplin in every one of their films!",negative
10,"The only reason I watched this film was because I had recently read Robert Hough's less than perfect, but interesting, fictionalised account of the life of Big Cat trainer Mabel Stark. Beaty appears as a character in the book, in a less than flattering light.<br /><br />I hadn't realised until checking the movie out later on the IMDb that it was originally a serial. Whoever edited the original running time of 233 minutes down to the 68 minuted version available on DVD has done a hell of a good job. The shortened version plays just as well as any B movie of the period despite the many 'duh-what?' moments. For instance are we really expected to believe our hero dug that twenty foot deep tiger trap in a morning without even getting his jodhpurs dirty? Looking over the chapter titles I see that number five is titled ""Gorilla Warfare"" and number eleven is called ""The Gorilla"". There were no gorillas at all in the movie. I guess that's where some of the cuts were made.<br /><br />Historicaly interesting.",negative
